CustomerID,Gender,Age,AnnualIncome,SpendingScore,TransactionsPerMonth,RecencyDays,City
1,Male,49,53581,39,31,282,Bengaluru
2,Female,53,97674,42,23,205,Delhi
3,Male,67,145196,71,16,150,Delhi
4,Male,54,46719,94,9,344,Mumbai
5,Male,65,118576,45,6,139,Hyderabad
6,Female,31,68450,2,25,281,Chennai
7,Male,44,40028,76,4,335,Bengaluru
8,Male,36,36192,77,12,173,Mumbai
9,Male,48,103636,67,24,164,Mumbai
10,Female,63,91812,43,27,102,Kolkata
11,Male,26,47551,18,3,290,Delhi
12,Male,55,140920,39,12,288,Hyderabad
13,Male,34,92364,6,30,102,Delhi
14,Male,36,84311,42,12,153,Mumbai
15,Female,61,81444,52,22,121,Mumbai
16,Male,21,53124,27,15,57,Bengaluru
17,Female,65,33654,79,28,107,Delhi
18,Female,28,20203,15,17,239,Delhi
19,Female,39,40129,19,25,21,Chennai
20,Male,21,136284,62,3,73,Bengaluru
21,Female,34,92150,64,36,341,Hyderabad
22,Male,25,133103,51,31,21,Delhi
23,Female,63,53264,47,15,298,Delhi
24,Female,51,32989,57,28,11,Hyderabad
25,Female,28,147812,20,31,58,Bengaluru
26,Female,48,69214,20,20,354,Delhi
27,Female,28,87115,82,21,240,Hyderabad
28,Female,55,81678,64,27,297,Chennai
29,Female,38,77883,98,19,86,Delhi
30,Female,63,73445,99,36,144,Hyderabad
31,Male,47,90412,38,12,225,Mumbai
32,Male,27,126154,38,35,194,Delhi
33,Female,43,89661,65,33,103,Chennai
34,Female,44,137401,76,36,364,Hyderabad
35,Female,25,25328,5,23,326,Hyderabad
36,Male,56,148062,64,13,162,Delhi
37,Female,25,68968,27,30,302,Mumbai
38,Male,25,62040,20,10,48,Hyderabad
39,Male,51,79199,60,20,234,Hyderabad
40,Male,33,77039,40,6,293,Mumbai
41,Male,58,97232,83,31,22,Chennai
42,Male,30,121683,79,19,336,Delhi
43,Female,40,70750,6,3,135,Kolkata
44,Female,29,36119,73,10,175,Delhi
45,Female,44,44017,36,10,333,Delhi
46,Female,39,68780,87,21,242,Bengaluru
47,Female,49,46204,74,2,17,Delhi
48,Male,66,39562,65,39,259,Kolkata
49,Female,44,44428,11,30,198,Mumbai
50,Female,19,145527,49,28,76,Delhi
51,Male,62,41497,84,18,203,Kolkata
52,Female,50,23372,28,14,233,Chennai
53,Male,43,108683,22,19,275,Bengaluru
54,Female,45,37453,84,36,159,Mumbai
55,Male,36,132716,47,12,115,Mumbai
56,Female,60,71928,80,20,258,Chennai
57,Female,22,53960,66,34,237,Delhi
58,Male,50,37197,25,36,96,Kolkata
59,Male,37,119456,91,21,128,Bengaluru
60,Male,47,74984,67,19,274,Kolkata
61,Male,62,145635,87,35,311,Bengaluru
62,Male,25,21883,32,8,260,Bengaluru
63,Male,55,36651,17,22,334,Mumbai
64,Male,34,105591,40,38,78,Chennai
